,commune_id,commune_name,tranche,nb_foyers,revenue_reference,impot net,nb_foyers_imposes,revenue_reference_impose,nb_foyers_salaire,montant_salaire,nb_foyers_retraite,montant_retraite
,211,Le Poujol-sur-Orb,Total,692,"14,064",436,201,"7,356",398,"9,076",306,"6,097"
,212,Poujols,Total,114,"2,849",107,45,"1,667",63,"1,721",50,"1,100"
,213,Poussan,0 à 10 000,704,"2,902",-54,n.c.,n.c.,300,"1,894",192,"1,563"
,213,Poussan,10 001 à 12 000,184,"2,035",-28,n.c.,n.c.,118,"1,409",69,964
,213,Poussan,12 001 à 15 000,321,"4,303",-20,n.c.,n.c.,240,"3,692",78,"1,152"
,213,Poussan,15 001 à 20 000,640,"11,192",1,203,"3,703",454,"9,054",203,"3,947"
,213,Poussan,20 001 à 30 000,710,"17,245",293,366,"8,901",498,"12,264",261,"6,406"
,213,Poussan,30 001 à 50 000,795,"30,531",826,520,"20,416",556,"21,966",320,"10,632"
,213,Poussan,50 001 à 100 000,449,"29,345","2,136",418,"27,514",348,"21,172",135,"5,881"
,213,Poussan,+ de 100 000,70,"11,882","1,904",n.c.,n.c.,61,"5,453",16,673
,213,Poussan,Total,"3,873","109,436","5,058","1,586","71,903","2,575","76,904","1,274","31,218"
,214,Pouzolles,Total,742,"18,224",592,235,"9,604",422,"11,475",327,"7,135"
,215,Pouzols,Total,561,"15,726",643,232,"10,291",377,"11,451",187,"5,060"
,216,Le Pradal,Total,188,"5,130",124,74,"2,933",113,"3,055",83,"2,080"
,217,Prades-le-Lez,0 à 10 000,451,"1,954",-11,n.c.,n.c.,186,"1,344",118,916
,217,Prades-le-Lez,10 001 à 12 000,112,"1,229",-12,n.c.,n.c.,74,855,34,505
,217,Prades-le-Lez,12 001 à 15 000,196,"2,643",-22,n.c.,n.c.,158,"2,348",40,608
,217,Prades-le-Lez,15 001 à 20 000,502,"8,826",19,203,"3,698",392,"7,596",124,"2,310"
,217,Prades-le-Lez,20 001 à 30 000,690,"16,837",360,409,"10,054",508,"13,228",201,"4,993"
,217,Prades-le-Lez,30 001 à 50 000,808,"31,419","1,263",622,"24,310",567,"21,678",310,"10,843"
,217,Prades-le-Lez,50 001 à 100 000,628,"42,373","3,190",584,"39,711",526,"33,959",167,"7,782"
,217,Prades-le-Lez,+ de 100 000,144,"23,197","3,507",n.c.,n.c.,124,"14,384",35,"2,580"
,217,Prades-le-Lez,Total,"3,531","128,477","8,294","1,980","100,721","2,535","95,390","1,029","30,536"
,218,Prades-sur-Vernazobre,Total,214,"5,838",286,73,"3,488",113,"2,857",96,"2,503"
,219,Prémian,Total,334,"6,689",240,114,"4,193",150,"3,076",161,"3,781"
,220,Le Puech,Total,149,"4,865",306,76,"3,530",92,"2,570",63,"1,582"
,221,Puéchabon,Total,312,"7,400",293,109,"4,435",204,"5,217",111,"2,263"
,222,Puilacher,Total,326,"10,567",482,131,"6,969",225,"7,406",104,"2,645"
,223,Puimisson,Total,713,"20,363",957,279,"13,534",425,"12,556",283,"6,663"
